home,away,home_rank,away_rank,rank_diff,home_prob,away_prob
Maryland,Michigan State,13,14,-1,0.4562707888897858,0.5437292111102142
Ohio State,Michigan State,12,14,-2,0.4132054670458516,0.5867945329541484
Wisconsin,Michigan State,11,14,-3,0.3714282104498325,0.6285717895501675
Michigan,Michigan State,10,14,-4,0.3314887123258291,0.6685112876741709
Purdue,Michigan State,9,14,-5,0.293836272474856,0.706163727525144
Illinois,Michigan State,8,14,-6,0.2588049198359697,0.7411950801640304
Iowa,Michigan State,7,14,-7,0.22660979076770538,0.7733902092322946
Penn State,Michigan State,6,14,-8,0.19735331157097327,0.8026466884290268
Rutgers,Michigan State,5,14,-9,0.17103865724729597,0.8289613427527041
Indiana,Michigan State,4,14,-10,0.14758756762498776,0.8524124323750122
Minnesota,Michigan State,3,14,-11,0.12685979018859744,0.8731402098114025
Northwestern,Michigan State,2,14,-12,0.10867197539624486,0.8913280246037552
Nebraska,Michigan State,1,14,-13,0.09281455246860612,0.9071854475313939
Michigan State,Maryland,14,13,1,0.5437292111102142,0.4562707888897858
Ohio State,Maryland,12,13,-1,0.4562707888897858,0.5437292111102142
Wisconsin,Maryland,11,13,-2,0.4132054670458516,0.5867945329541484
Michigan,Maryland,10,13,-3,0.3714282104498325,0.6285717895501675
Purdue,Maryland,9,13,-4,0.3314887123258291,0.6685112876741709
Illinois,Maryland,8,13,-5,0.293836272474856,0.706163727525144
Iowa,Maryland,7,13,-6,0.2588049198359697,0.7411950801640304
Penn State,Maryland,6,13,-7,0.22660979076770538,0.7733902092322946
Rutgers,Maryland,5,13,-8,0.19735331157097327,0.8026466884290268
Indiana,Maryland,4,13,-9,0.17103865724729597,0.8289613427527041
Minnesota,Maryland,3,13,-10,0.14758756762498776,0.8524124323750122
Northwestern,Maryland,2,13,-11,0.12685979018859744,0.8731402098114025
Nebraska,Maryland,1,13,-12,0.10867197539624486,0.8913280246037552
Michigan State,Ohio State,14,12,2,0.5867945329541484,0.4132054670458516
Maryland,Ohio State,13,12,1,0.5437292111102142,0.4562707888897858
Wisconsin,Ohio State,11,12,-1,0.4562707888897858,0.5437292111102142
Michigan,Ohio State,10,12,-2,0.4132054670458516,0.5867945329541484
Purdue,Ohio State,9,12,-3,0.3714282104498325,0.6285717895501675
Illinois,Ohio State,8,12,-4,0.3314887123258291,0.6685112876741709
Iowa,Ohio State,7,12,-5,0.293836272474856,0.706163727525144
Penn State,Ohio State,6,12,-6,0.2588049198359697,0.7411950801640304
Rutgers,Ohio State,5,12,-7,0.22660979076770538,0.7733902092322946
Indiana,Ohio State,4,12,-8,0.19735331157097327,0.8026466884290268
Minnesota,Ohio State,3,12,-9,0.17103865724729597,0.8289613427527041
Northwestern,Ohio State,2,12,-10,0.14758756762498776,0.8524124323750122
Nebraska,Ohio State,1,12,-11,0.12685979018859744,0.8731402098114025
Michigan State,Wisconsin,14,11,3,0.6285717895501676,0.37142821044983243
Maryland,Wisconsin,13,11,2,0.5867945329541484,0.4132054670458516
Ohio State,Wisconsin,12,11,1,0.5437292111102142,0.4562707888897858
Michigan,Wisconsin,10,11,-1,0.4562707888897858,0.5437292111102142
Purdue,Wisconsin,9,11,-2,0.4132054670458516,0.5867945329541484
Illinois,Wisconsin,8,11,-3,0.3714282104498325,0.6285717895501675
Iowa,Wisconsin,7,11,-4,0.3314887123258291,0.6685112876741709
Penn State,Wisconsin,6,11,-5,0.293836272474856,0.706163727525144
Rutgers,Wisconsin,5,11,-6,0.2588049198359697,0.7411950801640304
Indiana,Wisconsin,4,11,-7,0.22660979076770538,0.7733902092322946
Minnesota,Wisconsin,3,11,-8,0.19735331157097327,0.8026466884290268
Northwestern,Wisconsin,2,11,-9,0.17103865724729597,0.8289613427527041
Nebraska,Wisconsin,1,11,-10,0.14758756762498776,0.8524124323750122
Michigan State,Michigan,14,10,4,0.6685112876741709,0.3314887123258291
Maryland,Michigan,13,10,3,0.6285717895501676,0.37142821044983243
Ohio State,Michigan,12,10,2,0.5867945329541484,0.4132054670458516
Wisconsin,Michigan,11,10,1,0.5437292111102142,0.4562707888897858
Purdue,Michigan,9,10,-1,0.4562707888897858,0.5437292111102142
Illinois,Michigan,8,10,-2,0.4132054670458516,0.5867945329541484
Iowa,Michigan,7,10,-3,0.3714282104498325,0.6285717895501675
Penn State,Michigan,6,10,-4,0.3314887123258291,0.6685112876741709
Rutgers,Michigan,5,10,-5,0.293836272474856,0.706163727525144
Indiana,Michigan,4,10,-6,0.2588049198359697,0.7411950801640304
Minnesota,Michigan,3,10,-7,0.22660979076770538,0.7733902092322946
Northwestern,Michigan,2,10,-8,0.19735331157097327,0.8026466884290268
Nebraska,Michigan,1,10,-9,0.17103865724729597,0.8289613427527041
Michigan State,Purdue,14,9,5,0.706163727525144,0.293836272474856
Maryland,Purdue,13,9,4,0.6685112876741709,0.3314887123258291
Ohio State,Purdue,12,9,3,0.6285717895501676,0.37142821044983243
